2025-12-24 21:54:52,873 - INFO] {'seed': 42, 'pass_channel': True, 'CUDA': True, 'device': device(type='cuda', index=0), 'norm': False, 'print_step': 100, 'plot_step': 10000, 'filename': '2025-12-24_21-54-52', 'workdir': './history/2025-12-24_21-54-52', 'homedir': '/home/matthewwang16czap/', 'log': './history/2025-12-24_21-54-52/Log_2025-12-24_21-54-52.log', 'samples': './history/2025-12-24_21-54-52/samples', 'models': './history/2025-12-24_21-54-52/models', 'logger': <Logger Deep joint source channel coder (INFO)>, 'normalize': False, 'learning_rate': 0.0001, 'alpha_losses': [10, 10, 10, 1], 'tot_epoch': 10000000, 'denoise': False, 'denoise_training': False, 'dataset_type': 'RandomResizedCrop', 'save_model_freq': 100, 'image_dims': (3, 256, 256), 'train_data_dir': ['/home/matthewwang16czap/datasets/DIV2K/clic2020/**', '/home/matthewwang16czap/datasets/DIV2K/clic2021/train', '/home/matthewwang16czap/datasets/DIV2K/clic2021/valid', '/home/matthewwang16czap/datasets/DIV2K/clic2022/val', '/home/matthewwang16czap/datasets/DIV2K/DIV2K_train_HR', '/home/matthewwang16czap/datasets/DIV2K/DIV2K_valid_HR'], 'batch_size': 16, 'downsample': 4, 'test_data_dir': ['/home/matthewwang16czap/datasets/Kodak/'], 'channel_number': None, 'encoder_kwargs': {'model': 'SwinJSCC_w/_SAandRA', 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 192, 256, 320], 'depths': [2, 2, 6, 2], 'num_heads': [4, 6, 8, 10], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, 'decoder_kwargs': {'model': 'SwinJSCC_w/_SAandRA', 'patch_size': 2, 'out_chans': 3, 'embed_dims': [320, 256, 192, 128], 'depths': [2, 6, 2, 2], 'num_heads': [10, 8, 6, 4], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}, 'device_id': 0}
2025-12-24 21:54:53,158 - INFO] Network config: 
2025-12-24 21:54:53,158 - INFO] Encoder: 
2025-12-24 21:54:53,159 - INFO] {'model': 'SwinJSCC_w/_SAandRA', 'patch_size': 2, 'in_chans': 3, 'embed_dims': [128, 192, 256, 320], 'depths': [2, 2, 6, 2], 'num_heads': [4, 6, 8, 10], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2025-12-24 21:54:53,159 - INFO] Decoder: 
2025-12-24 21:54:53,159 - INFO] {'model': 'SwinJSCC_w/_SAandRA', 'patch_size': 2, 'out_chans': 3, 'embed_dims': [320, 256, 192, 128], 'depths': [2, 6, 2, 2], 'num_heads': [10, 8, 6, 4], 'C': None, 'window_size': 8, 'mlp_ratio': 4.0, 'qkv_bias': True, 'qk_scale': None, 'norm_layer': <class 'torch.nn.modules.normalization.LayerNorm'>, 'patch_norm': True}
2025-12-24 21:54:53,163 - INFO] 【Channel】: Built awgn channel, SNR 1,4,7,10,13 dB.
2025-12-24 21:55:33,660 - INFO] Epoch 1 | Step [44/56=78.57%] | Time 0.336 | Loss 0.028 | CBR 0.0208 | SNR 4.0 | PSNR 15.960 | SSIM 0.290 | MSSSIM 0.541 | Lr 0.0001
2025-12-24 21:56:12,089 - INFO] Epoch 3 | Step [32/56=57.14%] | Time 0.337 | Loss 0.012 | CBR 0.1250 | SNR 10.0 | PSNR 19.668 | SSIM 0.383 | MSSSIM 0.702 | Lr 0.0001
2025-12-24 21:56:50,591 - INFO] Epoch 5 | Step [20/56=35.71%] | Time 0.339 | Loss 0.010 | CBR 0.1250 | SNR 13.0 | PSNR 20.502 | SSIM 0.428 | MSSSIM 0.777 | Lr 0.0001
2025-12-24 21:57:28,651 - INFO] Epoch 7 | Step [8/56=14.29%] | Time 0.349 | Loss 0.008 | CBR 0.0208 | SNR 10.0 | PSNR 21.297 | SSIM 0.477 | MSSSIM 0.792 | Lr 0.0001
2025-12-24 21:58:04,724 - INFO] Epoch 8 | Step [52/56=92.86%] | Time 0.338 | Loss 0.011 | CBR 0.0208 | SNR 7.0 | PSNR 19.970 | SSIM 0.486 | MSSSIM 0.788 | Lr 0.0001
2025-12-24 21:58:43,108 - INFO] Epoch 10 | Step [40/56=71.43%] | Time 0.340 | Loss 0.010 | CBR 0.0417 | SNR 1.0 | PSNR 20.447 | SSIM 0.444 | MSSSIM 0.744 | Lr 0.0001
2025-12-24 21:59:21,422 - INFO] Epoch 12 | Step [28/56=50.00%] | Time 0.338 | Loss 0.008 | CBR 0.1250 | SNR 4.0 | PSNR 21.169 | SSIM 0.533 | MSSSIM 0.844 | Lr 0.0001
2025-12-24 21:59:59,771 - INFO] Epoch 14 | Step [16/56=28.57%] | Time 0.338 | Loss 0.006 | CBR 0.0625 | SNR 10.0 | PSNR 22.415 | SSIM 0.566 | MSSSIM 0.875 | Lr 0.0001
2025-12-24 22:00:37,936 - INFO] Epoch 16 | Step [4/56=7.14%] | Time 0.345 | Loss 0.007 | CBR 0.0625 | SNR 1.0 | PSNR 21.942 | SSIM 0.517 | MSSSIM 0.810 | Lr 0.0001
2025-12-24 22:01:14,153 - INFO] Epoch 17 | Step [48/56=85.71%] | Time 0.337 | Loss 0.010 | CBR 0.0208 | SNR 1.0 | PSNR 20.256 | SSIM 0.436 | MSSSIM 0.708 | Lr 0.0001
2025-12-24 22:01:52,705 - INFO] Epoch 19 | Step [36/56=64.29%] | Time 0.339 | Loss 0.005 | CBR 0.1250 | SNR 7.0 | PSNR 23.385 | SSIM 0.589 | MSSSIM 0.886 | Lr 0.0001
2025-12-24 22:02:30,834 - INFO] Epoch 21 | Step [24/56=42.86%] | Time 0.340 | Loss 0.006 | CBR 0.1250 | SNR 1.0 | PSNR 22.621 | SSIM 0.599 | MSSSIM 0.869 | Lr 0.0001
2025-12-24 22:03:08,965 - INFO] Epoch 23 | Step [12/56=21.43%] | Time 0.340 | Loss 0.006 | CBR 0.0833 | SNR 4.0 | PSNR 23.647 | SSIM 0.612 | MSSSIM 0.876 | Lr 0.0001
2025-12-24 22:03:45,061 - INFO] Epoch 24 | Step [56/56=0.00%] | Time 0.336 | Loss 0.005 | CBR 0.0625 | SNR 7.0 | PSNR 23.492 | SSIM 0.611 | MSSSIM 0.884 | Lr 0.0001
2025-12-24 22:04:23,239 - INFO] Epoch 26 | Step [44/56=78.57%] | Time 0.336 | Loss 0.006 | CBR 0.0208 | SNR 13.0 | PSNR 22.527 | SSIM 0.549 | MSSSIM 0.843 | Lr 0.0001
